Date,Source,Time,Titles,gists,link,labels
2020-09-08,Times_Now,10:49:21.725394,"[""With single-day spike of 75,809 cases and record 1,133 deaths, India's COVID-19 tally nears 43 lakh mark""]","[""With single-day spike of 75,809 cases and record 1,133 deaths, India's COVID-19 tally nears 43 lakh mark""]",https://www.timesnownews.com/india/article/with-single-day-spike-of-75809-cases-indias-covid-19-tally-inches-closer-to-43-lakh-mark/649246,"['75,809', '1,133', 'India', 'nears 43']"
2020-09-08,Times_Now,10:49:22.137559,"['PGI Rohtak to begin phase 2 clinical trial of Bharat Biotech’s COVAXIN, India’s first coronavirus vaccine']","[""he phase 2 human clinical trial of Bharat Biotech's COVID-19 vaccine at PGI Rohtak will involve 300 volunteer."", 'reliminary phase 1 results show that COVAXIN is safe with no adverse events in study volunteer.', 'oth COVAXIN and ZCOV-D, which are indigenously developed vaccines against the SARS-CoV-2 virus, are in the second phase of clinical evaluatio.']",https://www.timesnownews.com/health/article/pgi-rohtak-to-begin-phase-2-clinical-trial-of-bharat-biotech-s-covaxin-india-s-first-coronavirus-vaccine/649209,"['PGI Rohtak', '2', 'Bharat Biotech’s COVAXIN', 'India']"
2020-09-08,Times_Now,10:49:22.474459,"[""No firing happened: India denies Chinese claims of 'fired threats' by Indian Army troops south of Pangong Tso""]","['he two sides have been locked in a stand-off since the first week of Ma.', 'ndian Army sources said that Chinese PLA troops fired in the air to scare the Indian patrol part.']",https://www.timesnownews.com/india/article/amid-india-china-standoff-incident-of-firing-reported-along-line-of-actual-control/649177,"['India', 'Chinese', 'Indian Army', 'Pangong']"
2020-09-08,Times_Now,10:49:22.676662,['Very serious situation: EAM S Jaishankar on India-China standoff along LAC'],"['aishankar will be meeting his Chinese counterpart in Moscow on September 1.', 'tate of the border cannot be de-linked from the state of the relationship, he sai.']",https://www.timesnownews.com/india/article/very-serious-situation-eam-s-jaishankar-on-india-china-standoff-along-lac/649200,"['India', 'China', 'LAC']"
2020-09-08,Times_Now,10:49:22.865428,"[""Former ICICI Bank MD & CEO Chanda Kochhar's husband arrested over money laundering allegations""]","[""Former ICICI Bank MD & CEO Chanda Kochhar's husband arrested over money laundering allegations""]",https://www.timesnownews.com/business-economy/companies/article/former-icici-bank-md-ceo-chanda-kochhars-husband-arrested-over-money-laundering-allegations/649110,"['ICICI Bank MD &', 'Chanda Kochhar']"
2020-09-08,Times_Now,10:49:23.264859,['Mumbai PoK row: Shiv Sena IT cell files complaint against Kangana Ranaut seeking FIR under sedition charge'],"['he\xa0complaint has been registered at Shrinagar Police Station in Than.', 'he Centre has decided to grant Y-plus category security cover to Kangan.', 'anaut had said she feared the Mumbai police more than the ""movie mafia.']",https://www.timesnownews.com/india/article/mumbai-pok-row-shiv-sena-it-cell-files-complaint-against-kangana-ranaut-seeking-fir-under-sedition-charge/649226,"['Shiv Sena', 'Kangana Ranaut', 'FIR']"
2020-09-08,Times_Now,10:49:23.763458,['Vodafone Idea CEO hints at rate hike in short term to make business sustainable'],['Vodafone Idea CEO hints at rate hike in short term to make business sustainable'],https://www.timesnownews.com/business-economy/companies/article/vodafone-idea-ceo-hints-at-rate-hike-in-short-term-to-make-business-sustainable/649211,['Vodafone Idea']
2020-09-08,Times_Now,10:49:24.183429,['Man blows up kitchen while trying to kill fly with electric racket'],['Man blows up kitchen while trying to kill fly with electric racket'],https://www.timesnownews.com/the-buzz/article/man-blows-up-kitchen-while-trying-to-kill-fly-with-electric-racket/649263,[]
2020-09-08,Times_Now,10:49:24.552188,"['This man taking out car parked at narrow spot will make you anxious, check how he got it in there - WATCH']","['This man taking out car parked at narrow spot will make you anxious, check how he got it in there - WATCH']",https://www.timesnownews.com/the-buzz/article/this-man-taking-out-car-parked-at-narrow-spot-will-make-you-anxious-check-how-he-got-it-in-there-watch/649253,[]
2020-09-08,Times_Now,10:49:24.981992,['BJP and Shiv Sena lock horns over election of deputy chairman'],"['VA Govt wants election of deputy chairman to happen unopposed.', ""JP filed candidature of Bhai Girkar against Sena's Neelam Gorhe."", 'JP had requested to postpone the election.']",https://www.timesnownews.com/india/article/bjp-and-shiv-sena-lock-horns-over-the-election-of-deputy-chairman/649236,"['BJP', 'Shiv Sena']"
